@RELATION SentimentDataset

@ATTRIBUTE affairs	NUMERIC
@ATTRIBUTE cnn    NUMERIC
@ATTRIBUTE court    NUMERIC
@ATTRIBUTE crime NUMERIC
@ATTRIBUTE ebola  NUMERIC
@ATTRIBUTE facebook	NUMERIC
@ATTRIBUTE family	NUMERIC
@ATTRIBUTE government	NUMERIC
@ATTRIBUTE islam NUMERIC
@ATTRIBUTE jihad	NUMERIC
@ATTRIBUTE military    NUMERIC
@ATTRIBUTE muslim    NUMERIC
@ATTRIBUTE news NUMERIC
@ATTRIBUTE policy  NUMERIC
@ATTRIBUTE politics	NUMERIC
@ATTRIBUTE president	NUMERIC
@ATTRIBUTE press	NUMERIC
@ATTRIBUTE program	NUMERIC
@ATTRIBUTE rights	NUMERIC
@ATTRIBUTE safeguards    NUMERIC
@ATTRIBUTE security    NUMERIC
@ATTRIBUTE syria NUMERIC
@ATTRIBUTE trial  NUMERIC
@ATTRIBUTE twitter	NUMERIC
@ATTRIBUTE victims	NUMERIC
@ATTRIBUTE war	NUMERIC
@ATTRIBUTE CLASS	{PRO-EXTREMIST,ANTI-EXTREMIST,NEUTRAL}
@DATA
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,1,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,1,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,1,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,1,1,-999,0,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,1,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,0,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,1,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-1,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,0,0,0,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,0,0,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,1,-999,-999,0,-999,-999,1,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999,-2,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,1,0,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,1,-999,-999,-999,-999,-999,-1,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,-999,-999,-999,-999,0,0,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,0,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,1,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,-999,-999,-999,0,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,0,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-999,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,-999,0,0,1,1,-999,0,-999,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,-999,-1,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,1,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,-999,-999,-999,1,0,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,-999,0,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,0,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,1,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,1,0,1,1,-999,-999,0,-999,-2,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-1,-999,-999,0,-999,-999,-999,0,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,1,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,-999,-999,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,1,-1,1,-999,-999,0,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,-999,-1,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,0,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-1,-999,-999,0,-999,-999,-999,0,-1,1,1,-999,-999,0,-999,-2,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-1,-999,-999,0,-999,-999,-999,0,-1,1,1,-999,-999,0,-999,-2,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,-999,-999,-999,1,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,-999,-999,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-1,-1,1,-999,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,1,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,0,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-1,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-1,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,1,-999,-999,-999,1,-1,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,0,1,-999,-999,-999,0,-1,1,1,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,0,-999,-999,-999,2,-999,-999,0,1,1,1,0,0,-999,-999,-1,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,-1,1,-999,-999,-999,-999,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-1,-999,-999,0,-999,-999,-999,-1,-1,1,1,-1,-999,-999,-999,-2,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,1,0,-999,-1,1,1,-999,-999,0,-999,-2,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-1,-999,-999,0,-999,-999,0,-999,-999,-999,1,-1,1,1,-999,-999,0,-999,-999,-999,PRO-EXTREMIST
-1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,1,1,0,-999,-999,-999,-2,-999,PRO-EXTREMIST
0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,0,0,1,1,0,-999,0,-999,-999,-999,PRO-EXTREMIST
